familia_professional,area_professional,nom_de_laccio,nif_entitat_formacio,entitat,codi_municipi,nom_municipi,codi_comarca,nom_comarca,modalitat,tipus_de_formacio,hores,web,correu_electronic,telefon,categoria_duracion,tipo_nombre,longitud_nombre,es_certificado,nivell,id_curso,nivel_consolidado,tipus_nivell,categoritzacio_curs
Administració i gestió,Administració i auditoria,Nòmines i seguretat social i,G63127708,Catformació,8019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,30,https://www.catformacio.com,info@catformacio.org,932172515,Media,otro,28,False,,Nòmines i seguretat social i_Catformació_Teleformació_30,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Administració i gestió', 'modalitat': 'Teleformació', 'hores': 'Media'}"
Imatge i so,Produccions fotogràfiques,Adobe photoshop,A17117003,ESCOLA DE GESTIÓ EMPRESARIAL,17079,GIRONA,20,GIRONÈS,Presencial,Altra Formació Professionalitzadora,45,https://www.ege.edu.es,escola@ege.edu.es,972401300,Larga,otro,15,False,,Adobe photoshop_ESCOLA DE GESTIÓ EMPRESARIAL_Presencial_45,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Imatge i so', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Competències transversals,Habilitats personals i socials,Eines de coaching. nivell i,F08766131,CENTRE D'ESTUDIS JAUME BALMES,8101,L'HOSPITALET DE LLOBREGAT,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,https://www.balmesinnova.com,gonzalo.rodriguez@balmesinnova.com,609140649,Media,otro,27,False,,Eines de coaching. nivell i_CENTRE D'ESTUDIS JAUME BALMES_Presencial_30,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Competències transversals', 'modalitat': 'Presencial', 'hores': 'Media'}"
Seguretat i medi ambient,Seguretat i prevenció,Sead0112_uf2676_protecció de persones,B43431402,MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES,43155,TORTOSA,9,BAIX EBRE,Presencial,Certificats de Professionalitat,40,https://www.autoescolesmonteso.com,INFO@AUTOESCOLESMONTESO.COM,977443525,Media,certificado,37,False,,Sead0112_uf2676_protecció de persones_MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES_Presencial_40,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Seguretat i medi ambient', 'modalitat': 'Presencial', 'hores': 'Media'}"
Administració i gestió,Administració i auditoria,Gestió de tresoreria,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,40,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Media,otro,20,False,Mitjà,"Gestió de tresoreria_PIME Coneixement, S.L._Teleformació_40",Mitjà,General,"{'nivell': 'Mitjà', 'tipus': 'General', 'familia': 'Administració i gestió', 'modalitat': 'Teleformació', 'hores': 'Media'}"
Informàtica i comunicacions,Sistemes i telemàtica,Its databases - introducció a les bases de dades,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,50,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Larga,otro,48,False,Bàsic,"Its databases - introducció a les bases de dades_PIME Coneixement, S.L._Presencial_50",Bàsic,General,"{'nivell': 'Bàsic', 'tipus': 'General', 'familia': 'Informàtica i comunicacions', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Seguretat i medi ambient,Seguretat i prevenció,Formació específica per a vigilants de seguretat que prestin servei de vigilància en centres hospitalaris,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Corta,otro,105,False,,"Formació específica per a vigilants de seguretat que prestin servei de vigilància en centres hospitalaris_PIME Coneixement, S.L._Presencial_20",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Seguretat i medi ambient', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Administració i gestió,Administració i auditoria,Gestió de recursos humans,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,60,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Larga,otro,25,False,Mitjà,"Gestió de recursos humans_PIME Coneixement, S.L._Presencial_60",Mitjà,General,"{'nivell': 'Mitjà', 'tipus': 'General', 'familia': 'Administració i gestió', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Agrària,Agricultura,Tècniques de poda en oliverar,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,15,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Corta,otro,29,False,,"Tècniques de poda en oliverar_PIME Coneixement, S.L._Presencial_15",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Agrària', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Serveis socioculturals i a la comunitat,Atenció social,Comunicació augmentativa i/o alternativa en persones amb discapacitat,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,25,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Media,otro,69,False,,"Comunicació augmentativa i/o alternativa en persones amb discapacitat_PIME Coneixement, S.L._Presencial_25",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Media'}"
Administració i gestió,Gestió de la informació i comunicació,Ms excel 2016 avançat (accessible),B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,25,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Media,otro,34,False,Avançat,"Ms excel 2016 avançat (accessible)_PIME Coneixement, S.L._Teleformació_25",Avançat,General,"{'nivell': 'Avançat', 'tipus': 'General', 'familia': 'Administració i gestió', 'modalitat': 'Teleformació', 'hores': 'Media'}"
Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MP0029_Mòdul de pràctiques professionals no laborals d' 'Atenció sociosanitària a persones dependents en institucions socials',B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,80,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Larga,certificado,135,True,Pràctiques,"SSCS0208_MP0029_Mòdul de pràctiques professionals no laborals d' 'Atenció sociosanitària a persones dependents en institucions socials'_PIME Coneixement, S.L._Presencial_80",Pràctiques,Pràctiques,"{'nivell': 'Pràctiques', 'tipus': 'Pràctiques', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Comerç i màrqueting,Màrqueting i relacions públiques,Botiga virtual i gestió del comerç electrònic,B60301603,GRADO,28903,TRES CANTOS,0,ÀREA METROPOLITANA NORD,Teleformació,Altra Formació Professionalitzadora,35,https://campusocupados.nascorformacion.com/,esther.carrion@nascorformacion.com,650214505,Media,otro,45,False,,Botiga virtual i gestió del comerç electrònic_GRADO_Teleformació_35,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Comerç i màrqueting', 'modalitat': 'Teleformació', 'hores': 'Media'}"
Comerç i màrqueting,Compravenda,"Atenció al client del petit comerç en llengua estrangera, alemany",B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Media,otro,65,False,,"Atenció al client del petit comerç en llengua estrangera, alemany_PIME Coneixement, S.L._Presencial_30",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Comerç i màrqueting', 'modalitat': 'Presencial', 'hores': 'Media'}"
Instal·lació i manteniment,Muntatge i manteniment d'instal·lacions,Butlletins derivats d'una instal·lació,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,8,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Corta,otro,38,False,,"Butlletins derivats d'una instal·lació_PIME Coneixement, S.L._Presencial_8",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Instal·lació i manteniment', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Competències transversals,Digitals / Ofimàtica / Tics,Iniciació a la creació i edició de text,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,40,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Media,otro,39,False,Bàsic,"Iniciació a la creació i edició de text_PIME Coneixement, S.L._Presencial_40",Bàsic,General,"{'nivell': 'Bàsic', 'tipus': 'General', 'familia': 'Competències transversals', 'modalitat': 'Presencial', 'hores': 'Media'}"
Serveis socioculturals i a la comunitat,Formació i educació,"Ssce0110_mf1443_selecció, elaboració, adaptació i utilizació de materials, mitjans i recursos didàctics i",B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,90,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Extensa,certificado,105,False,,"Ssce0110_mf1443_selecció, elaboració, adaptació i utilizació de materials, mitjans i recursos didàctics i_PIME Coneixement, S.L._Presencial_90",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
Comerç i màrqueting,Logística comercial i gestió del transport,Operació de carretons norma renovació une 58451,B25363169,INDICE CONSULTORÍA Y FORMACIÓN,25120,LLEIDA,33,SEGRIÀ,Presencial,"Acreditacions oficials que capaciten per a un lloc de treball, formació regulada per conveni col·lectiu o certificacions de fabricant TIC",6,https://indiceformacion.com/,adominguez@indiceformacion.com,973184377,Corta,otro,47,False,,Operació de carretons norma renovació une 58451_INDICE CONSULTORÍA Y FORMACIÓN_Presencial_6,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Comerç i màrqueting', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Hostaleria i turisme,Restauració,Hotr0108_mp0014_mòdul de pràctiques professionals no laborals d' 'operacions bàsiques de cuina',B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,80,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Larga,certificado,95,False,Pràctiques,"Hotr0108_mp0014_mòdul de pràctiques professionals no laborals d' 'operacions bàsiques de cuina'_PIME Coneixement, S.L._Presencial_80",Pràctiques,Pràctiques,"{'nivell': 'Pràctiques', 'tipus': 'Pràctiques', 'familia': 'Hostaleria i turisme', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Comerç i màrqueting,Compravenda,Gestió de videovisites comercials,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Corta,otro,33,False,,"Gestió de videovisites comercials_PIME Coneixement, S.L._Presencial_20",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Comerç i màrqueting', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Serveis socioculturals i a la comunitat,Formació i educació,Plataformes per a l'aprenentatge,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,16,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Corta,otro,32,False,,"Plataformes per a l'aprenentatge_PIME Coneixement, S.L._Presencial_16",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Serveis socioculturals i a la comunitat,Formació i educació,Educació emocional a l'aula,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Corta,otro,27,False,,"Educació emocional a l'aula_PIME Coneixement, S.L._Presencial_20",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Transport i manteniment de vehicles,Conducció de vehicles per carretera,Competència professional per al transport de mercaderies,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,80,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Larga,otro,56,False,,"Competència professional per al transport de mercaderies_PIME Coneixement, S.L._Presencial_80",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Transport i manteniment de vehicles', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Administració i gestió,Administració i auditoria,Nòmines i seguretat social ii,G17119959,UIER,17147,RIPOLL,31,RIPOLLÈS,Presencial,Altra Formació Professionalitzadora,30,https://www.uier.org,formacio@uier.org,972703111,Media,otro,29,False,,Nòmines i seguretat social ii_UIER_Presencial_30,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Administració i gestió', 'modalitat': 'Presencial', 'hores': 'Media'}"
Administració i gestió,Administració i auditoria,Comptabilitat bàsica,G08484032,UPM,8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,60,https://www.upm.org,info@upm.org,933180828,Larga,otro,20,False,Bàsic,Comptabilitat bàsica_UPM_Presencial_60,Bàsic,General,"{'nivell': 'Bàsic', 'tipus': 'General', 'familia': 'Administració i gestió', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_UF0129_Animació social de persones dependents en institucions,B65187569,NASCOR,28115,POZUELO DE ALARCÓN,0,ÀREA METROPOLITANA OEST,Teleformació,Certificats de Professionalitat,30,https://nascorformacion.com/,esther.carrion@nascorformacion.com,650214505,Media,certificado,70,True,Bàsic,SSCS0208_UF0129_Animació social de persones dependents en institucions_NASCOR_Teleformació_30,Bàsic,General,"{'nivell': 'Bàsic', 'tipus': 'General', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Teleformació', 'hores': 'Media'}"
Comerç i màrqueting,Compravenda,Comt0411_mp0421_mòdul de pràctiques professionals no laborals de 'gestió comercial de vendes',B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,80,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Larga,certificado,93,False,Pràctiques,"Comt0411_mp0421_mòdul de pràctiques professionals no laborals de 'gestió comercial de vendes'_PIME Coneixement, S.L._Presencial_80",Pràctiques,Pràctiques,"{'nivell': 'Pràctiques', 'tipus': 'Pràctiques', 'familia': 'Comerç i màrqueting', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Serveis socioculturals i a la comunitat,Formació i educació,Anglès b.2.a.,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Formació d'idiomes preparatòria per certificacions segons Marc Comú Europeu de Referència de les Llengües,60,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Larga,otro,13,False,Idiomes B.2,"Anglès b.2.a._PIME Coneixement, S.L._Presencial_60",Mitjà,Idiomes,"{'nivell': 'Mitjà', 'tipus': 'Idiomes', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Serveis socioculturals i a la comunitat,Formació i educació,Tutor/a d'empresa als contractes de formació i alternança (bàsic de nivell i),B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,12,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Corta,otro,77,False,Bàsic,"Tutor/a d'empresa als contractes de formació i alternança (bàsic de nivell i)_PIME Coneixement, S.L._Presencial_12",Bàsic,General,"{'nivell': 'Bàsic', 'tipus': 'General', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Competències transversals,Habilitats de gestió / Organitzacionals / Metodològiques,Treball en equip,G61096368,CENTRE DE FORMACIO DE FUNDESPLAI,8169,EL PRAT DE LLOBREGAT,11,BAIX LLOBREGAT,Teleformació,Altra Formació Professionalitzadora,30,https://formacio.fundesplai.org,formacio@fundesplai.org,935511533,Media,otro,16,False,,Treball en equip_CENTRE DE FORMACIO DE FUNDESPLAI_Teleformació_30,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Competències transversals', 'modalitat': 'Teleformació', 'hores': 'Media'}"
Administració i gestió,Gestió de la informació i comunicació,Ms excel 2016 avançat (accessible),B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,25,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Media,otro,34,False,Avançat,"Ms excel 2016 avançat (accessible)_PIME Coneixement, S.L._Presencial_25",Avançat,General,"{'nivell': 'Avançat', 'tipus': 'General', 'familia': 'Administració i gestió', 'modalitat': 'Presencial', 'hores': 'Media'}"
Hostaleria i turisme,Restauració,Cuina per a celíacs,G63127708,Catformació,8019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,35,https://www.catformacio.com,info@catformacio.org,932172515,Media,otro,19,False,,Cuina per a celíacs_Catformació_Teleformació_35,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Hostaleria i turisme', 'modalitat': 'Teleformació', 'hores': 'Media'}"
Administració i gestió,Administració i auditoria,Anàlisi de balanços,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,50,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Larga,otro,19,False,,"Anàlisi de balanços_PIME Coneixement, S.L._Presencial_50",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Administració i gestió', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Competències transversals,Prevenció de riscos laborals i salut laboral,Prevenció de riscos laborals. nivell bàsic segons la normativa del sector,G60189057,IDFO,8019,BARCELONA,13,BARCELONÈS,Presencial,"Acreditacions oficials que capaciten per a un lloc de treball, formació regulada per conveni col·lectiu o certificacions de fabricant TIC",50,https://www.idfo.com,sroman@idfo.com,932689292,Larga,otro,73,False,Bàsic,Prevenció de riscos laborals. nivell bàsic segons la normativa del sector_IDFO_Presencial_50,Bàsic,General,"{'nivell': 'Bàsic', 'tipus': 'General', 'familia': 'Competències transversals', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Sanitat,Atenció sanitària,Competències avançades d'atenció sanitària auxiliar,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,40,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Media,otro,51,False,,"Competències avançades d'atenció sanitària auxiliar_PIME Coneixement, S.L._Presencial_40",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Sanitat', 'modalitat': 'Presencial', 'hores': 'Media'}"
Serveis socioculturals i a la comunitat,Formació i educació,Anglès b.1.d.,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Formació d'idiomes preparatòria per certificacions segons Marc Comú Europeu de Referència de les Llengües,60,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Larga,otro,13,False,Idiomes B.1,"Anglès b.1.d._PIME Coneixement, S.L._Presencial_60",Mitjà,Idiomes,"{'nivell': 'Mitjà', 'tipus': 'Idiomes', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Larga'}"
Serveis socioculturals i a la comunitat,Atenció social,Atenció centrada en la persona,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Corta,otro,30,False,,"Atenció centrada en la persona_PIME Coneixement, S.L._Presencial_20",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Electricitat i electrònica,Màquines electromecàniques,Pneumàtica. nivell i,G66210345,EURECAT,8266,CERDANYOLA DEL VALLÈS,40,VALLÈS OCCIDENTAL,Presencial,Altra Formació Professionalitzadora,30,https://www.eurecatacademy.org,academy@eurecat.org,937419100,Media,otro,20,False,Idiomes A.,Pneumàtica. nivell i_EURECAT_Presencial_30,Bàsic,Idiomes,"{'nivell': 'Bàsic', 'tipus': 'Idiomes', 'familia': 'Electricitat i electrònica', 'modalitat': 'Presencial', 'hores': 'Media'}"
Informàtica i comunicacions,Comunicacions,Administrador de xarxes cisco systems mòdul 2 ccna: fonaments de routing and switching a les xarxes,B61730453,PUE,8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,https://consorci.pue.es/,consorci@pue.es,932060249,Media,otro,99,False,Bàsic,Administrador de xarxes cisco systems mòdul 2 ccna: fonaments de routing and switching a les xarxes_PUE_Presencial_30,Bàsic,General,"{'nivell': 'Bàsic', 'tipus': 'General', 'familia': 'Informàtica i comunicacions', 'modalitat': 'Presencial', 'hores': 'Media'}"
Comerç i màrqueting,Compravenda,"Atenció al client del petit comerç en llengua estrangera, anglès",B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Media,otro,64,False,,"Atenció al client del petit comerç en llengua estrangera, anglès_PIME Coneixement, S.L._Presencial_30",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Comerç i màrqueting', 'modalitat': 'Presencial', 'hores': 'Media'}"
Competències transversals,Habilitats personals i socials,Habilitats personals i socials per a l'ocupació,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,175,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Extensa,otro,47,False,,"Habilitats personals i socials per a l'ocupació_PIME Coneixement, S.L._Presencial_175",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Competències transversals', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
Seguretat i medi ambient,Seguretat i prevenció,Servei de vigilància ferroviària i metropolità,G60189057,IDFO,8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,https://www.idfo.com,sroman@idfo.com,932689292,Corta,otro,46,False,,Servei de vigilància ferroviària i metropolità_IDFO_Presencial_20,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Seguretat i medi ambient', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Informàtica i comunicacions,Desenvolupament,Programador big data,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,120,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Extensa,otro,20,False,,"Programador big data_PIME Coneixement, S.L._Presencial_120",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Informàtica i comunicacions', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
Administració i gestió,Administració i auditoria,Comptabilitat informatitzada,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,40,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Media,otro,28,False,,"Comptabilitat informatitzada_PIME Coneixement, S.L._Presencial_40",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Administració i gestió', 'modalitat': 'Presencial', 'hores': 'Media'}"
Informàtica i comunicacions,Sistemes i telemàtica,Ciberseguretat,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,25,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Media,otro,14,False,Avançat,"Ciberseguretat_PIME Coneixement, S.L._Presencial_25",Avançat,General,"{'nivell': 'Avançat', 'tipus': 'General', 'familia': 'Informàtica i comunicacions', 'modalitat': 'Presencial', 'hores': 'Media'}"
Imatge personal,Perruqueria,Tècniques de tall de cabell per a homes,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,16,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Corta,otro,39,False,,"Tècniques de tall de cabell per a homes_PIME Coneixement, S.L._Presencial_16",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Imatge personal', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Administració i gestió,Gestió de la informació i comunicació,Neurolideratge,F08735714,ESCOLA SANT GERVASI COOPERATIVA,8124,MOLLET DEL VALLÈS,41,VALLÈS ORIENTAL,Teleformació,Altra Formació Professionalitzadora,30,https://www.santgervasifc.com,santgervasi@santgervasi.org,935795430,Media,otro,14,False,,Neurolideratge_ESCOLA SANT GERVASI COOPERATIVA_Teleformació_30,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Administració i gestió', 'modalitat': 'Teleformació', 'hores': 'Media'}"
Serveis socioculturals i a la comunitat,Formació i educació,Anglès a.1.a.,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,75,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Larga,otro,13,False,Idiomes A.1,"Anglès a.1.a._PIME Coneixement, S.L._Teleformació_75",Bàsic,Idiomes,"{'nivell': 'Bàsic', 'tipus': 'Idiomes', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Teleformació', 'hores': 'Larga'}"
Comerç i màrqueting,Compravenda,Comt0110_mf0241_informació i atenció al client-a/consumidor-a/usuari-ària,B62765201,"PIME Coneixement, S.L.",8019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,120,https://www.pimecformacio.cat,formacio@pimec.org,934964500,Extensa,certificado,73,False,,"Comt0110_mf0241_informació i atenció al client-a/consumidor-a/usuari-ària_PIME Coneixement, S.L._Presencial_120",Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Comerç i màrqueting', 'modalitat': 'Presencial', 'hores': 'Extensa'}"
