IDENTIFICADOR,FAMÍLIA PROFESSIONAL,ÀREA PROFESSIONAL,NOM DE L'ACCIÓ,NIF_ENTITAT_FORMACIÓ,ENTITAT,CODI_MUNICIPI,NOM_MUNICIPI,CODI_COMARCA,NOM_COMARCA,MODALITAT,TIPUS DE FORMACIÓ,HORES,WEB,CORREU ELECTRÒNIC,TELÈFON
245367,Competències transversals,Digitals / Ofimàtica / Tics,L'ordinador i les gestions per Internet,G60189057,IDFO,08019,BARCELONA,13,BARCELONÈS,Presencial,,40,www.idfo.com,sroman@idfo.com,932689292
258839,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1446_Orientació laboral i promoció de la qualitat en la formació professional per a l'ocupació,B61420824,FOMENT FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Teleformació,Certificats de Professionalitat,30,www.fomentformacio.com,formacio@foment.com,934841232
244593,Indústries alimentàries,Aliments diversos,Al·lèrgies i intoleràncies alimentàries. Nivell avançat,F59197996,FEMAREC,08019,BARCELONA,13,BARCELONÈS,Teleformació,,20,www.femarec.cat,dpch@femarec.cat,932437272
259227,Edificació i obra civil,Obra de paleta i acabats,"EOCB0208_MF0869_Pastes, morters, adhesius i formigons",G17047002,UNIÓ D'EMPRESARIS DE LA CONSTRUCCIÓ DE GIRONA,17079,GIRONA,20,GIRONÈS,Presencial,,30,https://www.uecgirona.com,formacio@uecgirona.com,972596460
260448,Activitats físiques i esportives,Activitats físiques i esportives recreatives,AFDA0310_UF1716_Sessions d'entrenament en activitats de natació,B55234140,SH CONCEPT FORMACIÓ S.L,17164,SANT HILARI SACALM,34,SELVA,Presencial,,60,www.shcformacio.com,formacio@shcformacio.com,672371690
258836,Serveis socioculturals i a la comunitat,Formació i educació,"SSCE0110_MF1443_Selecció, elaboració, adaptació i utilizació de materials, mitjans i recursos didàctics i",B61420824,FOMENT FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Teleformació,Certificats de Professionalitat,90,www.fomentformacio.com,formacio@foment.com,934841232
259573,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1445_Avaluació del procés d'ensenyament-aprenentatge en formació professional per a l'ocupació,B43431402,MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES,43155,TORTOSA,09,BAIX EBRE,Teleformació,Certificats de Professionalitat,60,https://www.autoescolesmonteso.com,INFO@AUTOESCOLESMONTESO.COM,977443525
250722,Informàtica i comunicacions,Desenvolupament,Data Scientist,G63127708,Catformació,08019,BARCELONA,13,BARCELONÈS,Presencial,,310,www.catformacio.com,info@catformacio.org,932172515
258310,Comerç i màrqueting,Logística comercial i gestió del transport,COML0309_MF1015_Gestió de les operacions d'emmagatzemament,B64064223,"AULA ACTIVA, FORMACIÓ I SERVEIS, SL",08019,BARCELONA,13,BARCELONÈS,Presencial,,110,www.aulaactiva.org,info@aulaactiva.org,934815581
252730,Química,Farmacoquímica,Transport i emmagatzematge de materials a la indústria farmacèutica,F08735714,ESCOLA SANT GERVASI COOPERATIVA,08124,MOLLET DEL VALLÈS,41,VALLÈS ORIENTAL,Teleformació,,30,https://www.santgervasifc.com,santgervasi@santgervasi.org,935795430
257542,Activitats físiques i esportives,Activitats físiques i esportives recreatives,AFDA0311_MF2038_Domini de les tècniques específiques de ioga,G43516087,FISS,43148,TARRAGONA,36,TARRAGONÈS,Presencial,,180,www.fiss.es,formacioncontinua@fiss.es,977211221
258169,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1444_Impartició i tutorització d'accions formatives per a l'ocupació,G60374022,JOVIAT,08113,MANRESA,07,BAGES,Presencial,Certificats de Professionalitat,100,www.joviat.cat,fcontinuada@joviat.cat,938726988
256227,Indústries alimentàries,Aliments diversos,Al·lèrgies i intoleràncies alimentàries. Nivell bàsic,B62278783,CRITERIA,08019,BARCELONA,13,BARCELONÈS,Presencial,,6,https://www.girosformacion.com,cursos@criteria.es,932652677
255495,Edificació i obra civil,Projecte i seguiment d'obra,"Mesuraments, pressupostos i certificacions amb Presto i Cost-it",B61420824,FOMENT FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,www.fomentformacio.com,formacio@foment.com,934841232
242577,Indústries alimentàries,Aliments diversos,"Seguretat alimentària, manipulació i control d'aliments",G58825811,ACRA,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,6,https://www.acra.cat/ca/formacio,formacio1@acra.cat,673724697
260031,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MF1018_Intervenció en l'atenció sociosanitària en institucions,B59974873,OFIBARNA,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,70,www.grupoqid.com,ofibarna@qidconsultors.com,931150510
243101,Administració i gestió,Administració i auditoria,Nòmines i seguretat social II,G80468416,FUNDACION LABORAL DE LA CONSTRUCCION,08015,BADALONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,https://www.cursosenconstruccion.com/cursos-gratuitos/cataluna,formaciocatalunya@fundacionlaboral.org,935210485
253319,Sanitat,Atenció sanitària,Infeccions nosocomials,G17119959,UIER,17147,RIPOLL,31,RIPOLLÈS,Presencial,Altra Formació Professionalitzadora,20,www.uier.org,formacio@uier.org,972703111
245315,Competències transversals,Prevenció de riscos laborals i salut laboral,Prevenció d'accidents en la conducció de carretons elevadors,G60189057,IDFO,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,10,www.idfo.com,sroman@idfo.com,932689292
256226,Indústries alimentàries,Aliments diversos,Al·lèrgies i intoleràncies alimentàries. Nivell bàsic,B62278783,CRITERIA,08019,BARCELONA,13,BARCELONÈS,Teleformació,,6,https://www.girosformacion.com,cursos@criteria.es,932652677
251470,Administració i gestió,Administració i auditoria,Comptabilitat bàsica,A08741530,ADAMS FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,60,www.adams.es,formacionbarcelona@adams.es,932081507
257062,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1444_Impartició i tutorització d'accions formatives per a l'ocupació,B61406997,Egara Formació,08279,TERRASSA,40,VALLÈS OCCIDENTAL,Presencial,Certificats de Professionalitat,100,www.egaraformacio.com,cursos@egaraformacio.com,937339820
258826,Administració i gestió,Administració i auditoria,ADGD0308_MF0980_Gestió auxiliar de personal,B61420824,FOMENT FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,90,www.fomentformacio.com,formacio@foment.com,934841232
256849,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1446_Orientació laboral i promoció de la qualitat en la formació professional per a l'ocupació,B66117797,"P.H.R.O. TRAINING CONSULTANTS & PARTNERS, S.L.",08266,CERDANYOLA DEL VALLÈS,40,VALLÈS OCCIDENTAL,Presencial,Certificats de Professionalitat,30,phrofessional.com,phrofessional@phrofessional.com,935948990
240104,Serveis socioculturals i a la comunitat,Formació i educació,Ciberbullying i la intervenció socioeducativa,G64388705,Fundació Catalana del Lleure Educatiu i Sociocultural,08019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,20,https://escolaefa.cat/oferta-formativa/subvencionat/,info@escolaefa.cat,934180257
248168,Sanitat,Serveis i productes sanitaris,Terminologia sanitària,B64719883,UCF,08019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,16,www.ucf.cat,mnadal@ucf.cat,932594381
242875,Arts i artesanies,Joieria i orfebreria,Disseny de joies assistit per ordinador. Nivell III,G08484032,UPM,08019,BARCELONA,13,BARCELONÈS,Presencial,,32,www.upm.org,info@upm.org,933180828
241596,Indústries alimentàries,Aliments diversos,"Seguretat alimentària, manipulació i control d'aliments",A17117003,ESCOLA DE GESTIÓ EMPRESARIAL,17079,GIRONA,20,GIRONÈS,Teleformació,Altra Formació Professionalitzadora,6,www.ege.edu.es,escola@ege.edu.es,972401300
257925,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MP0029_Mòdul de pràctiques professionals no laborals d' 'Atenció sociosanitària a persones dependents en institucions socials',G58825811,ACRA,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,80,https://www.acra.cat/ca/formacio,formacio1@acra.cat,673724697
258121,Administració i gestió,Gestió de la informació i comunicació,ADGG0408_MP0112_Mòdul de pràctiques professionals no laborals d''Operacions auxiliars de serveis administratius i generals',B62278783,CRITERIA,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,40,https://www.girosformacion.com,cursos@criteria.es,932652677
256872,Serveis socioculturals i a la comunitat,Activitats culturals i recreatives,SSCB0110_MF1433_Màrqueting cultural,R5800395E,Fundació Pere Tarres,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,80,www.peretarres.org,if@peretarres.org,934101602
255523,Hostaleria i turisme,Turisme,"Informació i atenció turística en llengua estrangera, anglès",B61420824,FOMENT FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,www.fomentformacio.com,formacio@foment.com,934841232
244111,Indústries alimentàries,Begudes,El procés d'enologia i el tast,G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,40,www.eshobfors.com,cursos@eshobfors.com,689291212
249621,Indústries alimentàries,Aliments diversos,Sistemes APPCC en la conservació d'aliments,B62765201,"PIME Coneixement, S.L.",08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,www.pimecformacio.cat,formacio@pimec.org,934964500
250560,Serveis socioculturals i a la comunitat,Formació i educació,Motivació dels alumnes a l'aula,G63127708,Catformació,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,www.catformacio.com,info@catformacio.org,932172515
244583,Administració i gestió,Administració i auditoria,Comptabilitat avançada,F59197996,FEMAREC,08019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,60,www.femarec.cat,dpch@femarec.cat,932437272
259731,Activitats físiques i esportives,Activitats físiques i esportives recreatives,AFDA0109_UF0299_Manteniment i conducció de bicicletes,P7500011G,ETEVA,25025,NAUT ARAN (Salardú),39,VAL D'ARAN,Presencial,,30,,,
250775,Informàtica i comunicacions,Sistemes i telemàtica,Big data,G63127708,Catformació,08019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,40,www.catformacio.com,info@catformacio.org,932172515
243631,Serveis socioculturals i a la comunitat,Formació i educació,El menjador escolar des d'una perspectiva socioeducativa,G61096368,CENTRE DE FORMACIO DE FUNDESPLAI,08169,EL PRAT DE LLOBREGAT,11,BAIX LLOBREGAT,Presencial,Altra Formació Professionalitzadora,20,https://formacio.fundesplai.org,formacio@fundesplai.org,935511533
257931,Hostaleria i turisme,Restauració,HOTR0108_UF0055_Preelaboració i conservació culinàries,G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,60,www.eshobfors.com,cursos@eshobfors.com,689291212
241135,Indústries alimentàries,Aliments diversos,Al·lèrgies i intoleràncies alimentàries. Nivell avançat,B43491257,"BRM PREVIFORM, S.L.",43093,MÓRA D'EBRE,30,RIBERA D'EBRE,Presencial,,20,www.grupbrm.com/academia,japeig@grupbrm.com,977402291
259087,Química,Transformació de polímers,QUIT0209_MF0329_Condicionament de materials termoplàstics per a la seva transformació,G66210345,EURECAT,08266,CERDANYOLA DEL VALLES,40,VALLÈS OCCIDENTAL,Presencial,,60,www.eurecatacademy.org,academy@eurecat.org,937419100
257063,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MP0353_Mòdul de pràctiques professionals no laborals de 'Docència de la formació professional per a l'ocupació',B61406997,Egara Formació,08279,TERRASSA,40,VALLÈS OCCIDENTAL,Presencial,Certificats de Professionalitat,40,www.egaraformacio.com,cursos@egaraformacio.com,937339820
247941,Seguretat i medi ambient,Seguretat i prevenció,Renovació legionel·la,G17119959,UIER,17147,RIPOLL,31,RIPOLLÈS,Presencial,Altra Formació Professionalitzadora,10,www.uier.org,formacio@uier.org,972703111
250518,Indústries alimentàries,Aliments diversos,Al·lèrgies i intoleràncies alimentàries. Nivell bàsic,G63127708,Catformació,08019,BARCELONA,13,BARCELONÈS,Presencial,,6,www.catformacio.com,info@catformacio.org,932172515
243614,Hostaleria i turisme,Restauració,Cuina japonesa avançada,G61096368,CENTRE DE FORMACIO DE FUNDESPLAI,08169,EL PRAT DE LLOBREGAT,11,BAIX LLOBREGAT,Presencial,,20,https://formacio.fundesplai.org,formacio@fundesplai.org,935511533
248014,Seguretat i medi ambient,Seguretat i prevenció,"C.16. Fontaneria, instal·lacions de calefacció-climatització, instal·lacions d'aigua calenta sanitària i instal·lacions solars tèrmiques. Formació de reciclatge",G25383928,"OELL, FUNDACIÓ PRIVADA",25120,LLEIDA,33,SEGRIÀ,Presencial,,4,www.coell.org,sroig@coell.org,973232166
256862,Serveis socioculturals i a la comunitat,Activitats culturals i recreatives,SSCB0209_MF1868_Tècniques i recursos d'animació en activitats de temps lliure,R5800395E,Fundació Pere Tarres,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,60,www.peretarres.org,if@peretarres.org,934101602
240275,Indústries alimentàries,Aliments diversos,Sistemes APPCC bàsics per al comerç minorista d'alimentació,G08510190,GREMI DE FLEQUERS DE LA PROVINCIA DE BARCELONA,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,10,www.gremipa.com,formacio@gremipa.com,934871818
257544,Activitats físiques i esportives,Activitats físiques i esportives recreatives,AFDA0311_MP0403_Mòdul de pràctiques professionals no laborals de 'Instrucció en ioga',G43516087,FISS,43148,TARRAGONA,36,TARRAGONÈS,Presencial,,120,www.fiss.es,formacioncontinua@fiss.es,977211221
248003,Edificació i obra civil,Projecte i seguiment d'obra,"Revit bàsic, entorn BIM",G25383928,"OELL, FUNDACIÓ PRIVADA",25120,LLEIDA,33,SEGRIÀ,Presencial,Altra Formació Professionalitzadora,16,www.coell.org,sroig@coell.org,973232166
258822,Administració i gestió,Administració i auditoria,ADGD0308_MF0973_Enregistrament de dades,B61420824,FOMENT FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,90,www.fomentformacio.com,formacio@foment.com,934841232
242846,Seguretat i medi ambient,Seguretat i prevenció,Prevenció de riscos laborals per treballs de fontaneria i instal·lacions de climatització. Part específica,G08484032,UPM,08019,BARCELONA,13,BARCELONÈS,Presencial,,6,www.upm.org,info@upm.org,933180828
255477,Indústries alimentàries,"Fleca, pastisseria, confiteria i molineria",Productes de pastisseria per a intoleràncies,B61420824,FOMENT FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,10,www.fomentformacio.com,formacio@foment.com,934841232
244105,Indústries alimentàries,"Fleca, pastisseria, confiteria i molineria","Pastisseria artesana, tècniques de base",G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,www.eshobfors.com,cursos@eshobfors.com,689291212
257561,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MP0029_Mòdul de pràctiques professionals no laborals d' 'Atenció sociosanitària a persones dependents en institucions socials',G43516087,FISS,43148,TARRAGONA,36,TARRAGONÈS,Presencial,Certificats de Professionalitat,80,www.fiss.es,formacioncontinua@fiss.es,977211221
259462,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1444_Impartició i tutorització d'accions formatives per a l'ocupació,B56635774,AUTOESCOLA L'ASFALT,08187,SABADELL,40,VALLÈS OCCIDENTAL,Teleformació,Certificats de Professionalitat,100,www.lasfalt.com,formacio@formartalent.com,692511167
246252,Sanitat,Serveis i productes sanitaris,Tècniques de massatge,G61676128,FUNDACIÓ PER A LA FORMACIÓ I L'ESTUDI PACO PUERTO,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,fundaciopacopuerto.cat,fppuerto@ccoo.cat,934812717
260316,Administració i gestió,Administració i auditoria,ADGD0108_MP0075_Mòdul de pràctiques professionals no laborals de 'Gestió comptable i gestió administrativa per a auditoria',B58490897,"Aula de Formació del Penedès, SL",08305,VILAFRANCA DEL PENEDÈS,03,ALT PENEDÈS,Presencial,Certificats de Professionalitat,80,www.aulapenedes.com,formacio@aulapenedes.com,938902047
258126,Activitats físiques i esportives,Activitats físiques i esportives recreatives,AFDA0311_UF1920_Disseny i direcció de sessions i activitats de ioga,G60374022,JOVIAT,08113,MANRESA,07,BAGES,Presencial,,90,www.joviat.cat,fcontinuada@joviat.cat,938726988
244103,Indústries alimentàries,"Fleca, pastisseria, confiteria i molineria",Aplicacions bàsiques de la xocolata,G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,10,www.eshobfors.com,cursos@eshobfors.com,689291212
257932,Hostaleria i turisme,Restauració,HOTR0108_UF0056_Realització d'elaboracions bàsiques i elementals de cuina i assistir en l'elaboració culinària,G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,90,www.eshobfors.com,cursos@eshobfors.com,689291212
259553,Sanitat,Atenció sanitària,SANT0208_MF0070_Tècniques de suport vital bàsic i de recolzament al suport vital avançat,B43431402,MONTESO CENTRE DE FORMACIÓ & AUTOESCOLES,43155,TORTOSA,09,BAIX EBRE,Presencial,,160,https://www.autoescolesmonteso.com,INFO@AUTOESCOLESMONTESO.COM,977443525
255749,Administració i gestió,Gestió de la informació i comunicació,Neurolideratge,B61420824,FOMENT FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,www.fomentformacio.com,formacio@foment.com,934841232
257937,Hostaleria i turisme,Restauració,HOTR0109_UF0818_Conservació en pastisseria,G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,,60,www.eshobfors.com,cursos@eshobfors.com,689291212
257944,Hostaleria i turisme,Restauració,HOTR0208_UF0059_Servei bàsic d'aliments i begudes i tasques de postservei al restaurant,G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,60,www.eshobfors.com,cursos@eshobfors.com,689291212
257949,Hostaleria i turisme,Allotjament,HOTA0208_UF0042_Comunicació i atenció a la clientela en hoteleria i turisme,G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,,30,www.eshobfors.com,cursos@eshobfors.com,689291212
245268,Comerç i màrqueting,Màrqueting i relacions públiques,Desenvolupament de continguts per a les xarxes socials,G60189057,IDFO,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,www.idfo.com,sroman@idfo.com,932689292
251335,Administració i gestió,Administració i auditoria,Comptabilitat bàsica,A08741530,ADAMS FORMACIÓ,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,60,www.adams.es,formacionbarcelona@adams.es,932081507
253295,Hostaleria i turisme,Turisme,"Informació i atenció turística en llengua estrangera, francès",G17119959,UIER,17147,RIPOLL,31,RIPOLLÈS,Presencial,Altra Formació Professionalitzadora,30,www.uier.org,formacio@uier.org,972703111
242329,Competències transversals,Habilitats de gestió / Organitzacionals / Metodològiques,Conducció de reunions,G58825811,ACRA,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,https://www.acra.cat/ca/formacio,formacio1@acra.cat,673724697
249976,Formació complementària,Seguritat alimentària,Manipulació d'aliments,G61097952,CECOT FORMACIÓ,08279,TERRASSA,40,VALLÈS OCCIDENTAL,Presencial,Altra Formació Professionalitzadora,10,https://formacio.cecot.org/,projectat@cecot.org,937366031
250390,Administració i gestió,Administració i auditoria,El sistema de control de gestió a l'empresa,B61088159,CF ESTUDI IMATGE SL,08096,GRANOLLERS,41,VALLÈS ORIENTAL,Teleformació,Altra Formació Professionalitzadora,40,https://formacionprofesionalstudy.com/,esmemaragda@hotmail.com,695452917
257767,Serveis socioculturals i a la comunitat,Assistència social,SSCS0108_MP0028_Mòdul de pràctiques professionals no laborals d' 'Atenció sociosanitària a persones en el domicili',G60189057,IDFO,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,120,www.idfo.com,sroman@idfo.com,932689292
242849,Administració i gestió,Administració i auditoria,Anàlisi Modal de Fallades i Efectes (AMFE),G08484032,UPM,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,16,www.upm.org,info@upm.org,933180828
242573,Sanitat,Atenció sanitària,Malalts terminals i cures pal·liatives,G58825811,ACRA,08019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,25,https://www.acra.cat/ca/formacio,formacio1@acra.cat,673724697
258119,Administració i gestió,Gestió de la informació i comunicació,ADGG0408_MF0970_Operacions bàsiques de comunicació,B62278783,CRITERIA,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,120,https://www.girosformacion.com,cursos@criteria.es,932652677
254674,Química,Farmacoquímica,"Neteja, desinfecció i esterilització a la indústria farmacèutica",A79221651,"CESI IBERIA, S.A.U",08019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,30,https://www.cesi-iberia.com/,cpaez@criteria.es,932652677
260463,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_UF0131_Tècniques de comunicació amb persones dependents en institucions,B55234140,SH CONCEPT FORMACIÓ S.L,17164,SANT HILARI SACALM,34,SELVA,Presencial,Certificats de Professionalitat,50,www.shcformacio.com,formacio@shcformacio.com,672371690
250460,Agrària,Agricultura,Manipulació i aplicació de productes fitosanitaris. Nivell avançat,G63127708,Catformació,08019,BARCELONA,13,BARCELONÈS,Presencial,"Acreditacions oficials que capaciten per a un lloc de treball, formació regulada per conveni col·lectiu o certificacions de fabricant TIC",60,www.catformacio.com,info@catformacio.org,932172515
259086,Química,Transformació de polímers,QUIT0209_MF0326_Preparació de màquines i instal·lacions per a la transformació de polímers,G66210345,EURECAT,08266,CERDANYOLA DEL VALLES,40,VALLÈS OCCIDENTAL,Presencial,,140,www.eurecatacademy.org,academy@eurecat.org,937419100
260312,Seguretat i medi ambient,Gestió ambiental,SEAG0210_MP0357_Mòdul de pràctiques professionals no laborals d''Operacions d'estacions de tractament d'aigües',A08147555,ESCOLA TÈCNICA XALOC,08101,L'HOSPITALET DE LLOBREGAT,13,BARCELONÈS,Presencial,,80,www.xaloc.org,teresa.coll@xaloc.org,933351600
250550,Serveis socioculturals i a la comunitat,Formació i educació,Metodologia Flipped Learning,G63127708,Catformació,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,www.catformacio.com,info@catformacio.org,932172515
252731,Química,Farmacoquímica,Operacions i equips bàsics a la indústria farmacèutica,F08735714,ESCOLA SANT GERVASI COOPERATIVA,08124,MOLLET DEL VALLÈS,41,VALLÈS ORIENTAL,Teleformació,,50,https://www.santgervasifc.com,santgervasi@santgervasi.org,935795430
257943,Hostaleria i turisme,Restauració,HOTR0208_UF0058_Ús de la dotació bàsica del restaurant i assistència en el preservei,G58011495,ESHOB,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,30,www.eshobfors.com,cursos@eshobfors.com,689291212
245913,Administració i gestió,Administració i auditoria,Nòmines i seguretat social I,G61508834,AUTOOCUPACIÓ,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,www.autoocupacio.org,formacio@autoocupacio.org,934908860
251140,Imatge i so,Produccions fotogràfiques,Fotografia gastronòmica,B61406997,Egara Formació,08279,TERRASSA,40,VALLÈS OCCIDENTAL,Presencial,,30,www.egaraformacio.com,cursos@egaraformacio.com,937339820
242356,Competències transversals,Habilitats personals i socials,Tècniques de maneig en la comunicació verbal davant una situació potencialment violenta,G58825811,ACRA,08019,BARCELONA,13,BARCELONÈS,Presencial,,20,https://www.acra.cat/ca/formacio,formacio1@acra.cat,673724697
247221,Administració i gestió,Administració i auditoria,Comptabilitat avançada,B58490897,"Aula de Formació del Penedès, SL",08305,VILAFRANCA DEL PENEDÈS,03,ALT PENEDÈS,Presencial,Altra Formació Professionalitzadora,60,www.aulapenedes.com,formacio@aulapenedes.com,938902047
256867,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_MF1018_Intervenció en l'atenció sociosanitària en institucions,R5800395E,Fundació Pere Tarres,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,70,www.peretarres.org,if@peretarres.org,934101602
257924,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_UF0130_Manteniment i millora de les activitats diàries de persones dependents en institucions,G58825811,ACRA,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,50,https://www.acra.cat/ca/formacio,formacio1@acra.cat,673724697
258131,Activitats físiques i esportives,Activitats físiques i esportives recreatives,AFDA0209_MF1079_Itineraris a cavall,G60374022,JOVIAT,08113,MANRESA,07,BAGES,Presencial,Certificats de Professionalitat,110,www.joviat.cat,fcontinuada@joviat.cat,938726988
246260,Sanitat,Atenció sanitària,Cures en pacients amb risc de lesions cutànies,G61676128,FUNDACIÓ PER A LA FORMACIÓ I L'ESTUDI PACO PUERTO,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,fundaciopacopuerto.cat,fppuerto@ccoo.cat,934812717
258114,Seguretat i medi ambient,Seguretat i prevenció,SEAD0112_UF2676_Tècniques de protecció de persones,B62278783,CRITERIA,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,40,https://www.girosformacion.com,cursos@criteria.es,932652677
250608,Sanitat,Atenció sanitària,Humanització a l'entorn assistencial,G63127708,Catformació,08019,BARCELONA,13,BARCELONÈS,Teleformació,,15,www.catformacio.com,info@catformacio.org,932172515
258263,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MF1446_Orientació laboral i promoció de la qualitat en la formació professional per a l'ocupació,P7590004C,Institut Municipal d'Ocupació Salvador Segui,25120,LLEIDA,33,SEGRIÀ,Teleformació,Certificats de Professionalitat,30,https://imolleida.com/detall-formacio/?idFormacio=5377&cercador=1,imo@paeria.cat,973242000
240120,Sanitat,Atenció sanitària,Trastorns en la deglució i disfàgia,G64388705,Fundació Catalana del Lleure Educatiu i Sociocultural,08019,BARCELONA,13,BARCELONÈS,Teleformació,Altra Formació Professionalitzadora,15,https://escolaefa.cat/oferta-formativa/subvencionat/,info@escolaefa.cat,934180257
252314,Administració i gestió,Finances i assegurances,Finances d'empresa per a no financers,B20910121,"LAE FORMACIÓN PROGRAMADA, S.L.",08279,TERRASSA,40,VALLÈS OCCIDENTAL,Teleformació,Altra Formació Professionalitzadora,40,WWW.GRUPOLAE.NET,alaitz@laeformacion.net,651074500
257928,Serveis socioculturals i a la comunitat,Assistència social,SSCS0208_UF0131_Tècniques de comunicació amb persones dependents en institucions,G58825811,ACRA,08019,BARCELONA,13,BARCELONÈS,Presencial,Certificats de Professionalitat,50,https://www.acra.cat/ca/formacio,formacio1@acra.cat,673724697
246213,Comerç i màrqueting,Màrqueting i relacions públiques,"Màrqueting a cercadors: SEO, SEM i analítica Web",G61676128,FUNDACIÓ PER A LA FORMACIÓ I L'ESTUDI PACO PUERTO,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,45,fundaciopacopuerto.cat,fppuerto@ccoo.cat,934812717
258201,Química,Procés químic,QUIE0108_MF0045_Operacions bàsiques de procés químic,F08735714,ESCOLA SANT GERVASI COOPERATIVA,08124,MOLLET DEL VALLÈS,41,VALLÈS ORIENTAL,Presencial,Certificats de Professionalitat,150,https://www.santgervasifc.com,santgervasi@santgervasi.org,935795430
